# ----------------------------------------,,,
# Pages and screens: Page path and screen class,,,
# Account: Client 4,,,
# Property: natyasutraonline - GA4,,,
# ----------------------------------------,,,
# ,,,
# All Users,,,
# Start date: 20250101,,,
# End date: 20251231,,,
Page path and screen class,Views,Average engagement time per active user,Bounce rate
/picture-gallery/samyuta-hasta-bharatanatyam/Kartarisvastika-Hasta-Bharatanatyam,582,41.25550660792952,0.03643724696356275
/music/classical-vocal/kottakkal-madhu/nalacharitham-attakatha,577,76.94855305466238,0.36538461538461536
/picture-gallery/asamyuta-hasta-bharatanatyam/Hamsasya-Hasta/,573,33.15835140997831,0.3269230769230769
/picture-gallery/samyuta-hasta-bharatanatyam/Kurma-Hasta-Bharatanatyam,573,35.01809954751131,0.025157232704402517
/freeclass/rajasthani-folk-dance,570,28.01840490797546,0.34502923976608185
/picture-gallery/asamyuta-hasta-bharatanatyam/Bhramara-Hasta/,568,30.25,0.3391304347826087
/picture-gallery/samyuta-hasta-bharatanatyam/Kilaka-Hasta-Bharatanatyam,565,29.814732142857142,0.0594059405940594
/mohiniyattam/smitha-rajan,558,32.91772151898734,0.2014388489208633
/picture-gallery/samyuta-hasta-bharatanatyam/Sankha-Hasta-Bharatanatyam,558,44.225352112676056,0.030042918454935622
/picture-gallery/samyuta-hasta-bharatanatyam/Cakra-Hasta-Bharatanatyam,546,44.129411764705885,0.04411764705882353
/payment/bulkpayment/html,545,40.678378378378376,0.008791208791208791
/my-page/pgm/divine-cowherd-lord-krishna/OTg=/html,544,212.02,0.04241071428571429
/picture-gallery/kerala-folk-art-forms/kothamooriyattam,543,56.059701492537314,0.08020050125313283
/kuchipudi/sreelakshmy-govardhanan/composition-sri-sakala-ganadhipa,536,30.114795918367346,0.15631691648822268
/my-page/pgm/madhura-ashtakam-adharam-madhuram-akhilam-madhuram/MjczNw==/html,523,115.18181818181819,0.07598039215686274
/my-page/pgm/online-lessons/MTgzMA==/html,523,246.21875,0.035955056179775284
/picture-gallery/samyuta-hasta-bharatanatyam/Nagabandha-Hasta-Bharatanatyam,520,32.54060913705584,0.027972027972027972
/odissi/madhavi-mudgal/beginners-mangalacharan,513,36.62985074626866,0.2091346153846154
/picture-gallery/kerala-folk-art-forms/gaddika/,512,61.54867256637168,0.2957393483709273
/freeclass/odissi-performances,510,20.474093264248705,0.20185614849187936
/gita-govinda/epic/translation-interpretation/1,509,7.352769679300292,0.059490084985835696
/kathak/gurupalichandra/master-class-om-jayanti-mangala-kali,507,13.398210290827741,0.23076923076923078
/bharatanatyam/rama-vaidhyanathan/composition-yennadaina-learn-online,503,38.98652291105121,0.07158351409978309
/picture-gallery/asamyuta-hasta-bharatanatyam/Kartarimukha-Hasta/,503,34.84905660377358,0.34793187347931875
/gita-govinda/epic/krishna,498,16.970588235294116,0.06182795698924731
/picture-gallery/samyuta-hasta-bharatanatyam/Matsya-Hasta-Bharatanatyam,496,31.969072164948454,0.03588516746411483
/picture-gallery/samyuta-hasta-bharatanatyam/Garuda-Hasta-Bharatanatyam,494,37.428940568475454,0.028639618138424822
/my-page/pgm/ardhanareeswara-ashtakam-learn-online/ODU=/html,486,41.34905660377358,0.21749408983451538
/gita-govinda/epic,485,26.596091205211728,0.182370820668693
/picture-gallery/samyuta-hasta-bharatanatyam/Varaha-Hasta-Bharatanatyam,485,35.80103359173127,0.04265402843601896
/my-page/pgm/sringara-lahari/MzgzMw==/html,484,63.88636363636363,0.026385224274406333
/bharatanatyam/rama-vaidhyanathan/composition-learn-lament-to-the-birds-online,482,33.34261838440111,0.0735632183908046
/picture-gallery/kerala-folk-art-forms/mangalamkali/,470,41.48985507246377,0.358974358974359
/kathak/gurupalichandra/composition-thumri-kavit-gat-bhav-kanha-main-tose,467,21.223756906077348,0.21666666666666667
/music/language-malayalam,467,68.9,0.03715170278637771
/picture-gallery/asamyuta-hasta-bharatanatyam/Alapadma-Hasta/,462,41.97014925373134,0.314070351758794
/gita-govinda/llalitha-lavanga-prabandh-3-pali-chandra-class-viharathi-haririha,459,26.47142857142857,0.10843373493975904
/gita-govinda/epic/dance-influence,456,40.24505928853755,0.10921501706484642
/gita-govinda/epic/prabandhs-slokas,454,29.382183908045977,0.21298701298701297
/gita-govinda/epic/theme,454,68.06949806949807,0.26299694189602446
/kathak/gurupalichandra/composition-begum-akhtar-ghazal-woh-jo-hum-mein-tum-mein,453,18.22343324250681,0.1943127962085308
